RefurbisherID,Company Name,Info,Status,Type,Address,District,State
819733,C S MITRA E-WASTE MANAGEMENT,Refurbisher,Pending at applicant,Amendment,"SF No Survey No 952/5E, SIRUPUZHALPETTAI VILLAGE GUMMIDIPOONDI TALUK TIRUVALLUR  TIRUVALLUR",Tiruvallur,TAMIL NADU
1428864,Deshwal Waste Management Pvt. Ltd,Refurbisher,Pending for approval at CPCB Authority,Amendment,"Plot No-15, Sector-5 IMT Manesar Gurugram",Gurgaon,HARYANA
1912855,Deshwal Waste Management Pvt. Ltd.,Refurbisher,Approved by CPCB Authority,Amendment,"Gat No-520, Behind Shell Petrol Pump, Pune Nagar Road Wagholi Pune",Pune,MAHARASHTRA
2882922,E-CLEAN E-GREEN RECYCLING,Refurbisher,Pending at applicant,Amendment,"Sr. No. 94, Gala No. 3,4, Umar Compound Jabar Pada, Nalasopara, Vasai, Dist Palghar Vasai",Palghar,MAHARASHTRA
2763823,Eco Recycling Limited,Refurbisher,Pending at CPCB,Amendment,"Ecoreco House Sheetal Industrial Park, Building No 1, Plot No 4, 2nd Floor, Survey No 30, Bhoidapada Mumbai",Palghar,MAHARASHTRA
87587,EcoTantra LLP,Refurbisher,Pending at applicant,Amendment,77/6 Vishnu Malti Industrial Estate. Besides HT Switchgears Shivane. Pune Pune,Pune,MAHARASHTRA
1555514,Eco Tech Recycling,Refurbisher,Approved by CPCB Authority,Amendment,"C - 6, (5), Sagar Industrial Estate,  S. No. 46/4, Dhumal Nagar, Vasai East Vasai",Palghar,MAHARASHTRA
68515,E HASIRU,Refurbisher,Approved by CPCB Authority,Amendment,"NO.168/B, 7TH MAIN ROAD,3RD PHASE PEENYA INDUSTRIAL AREA BANGALORE",Bangalore,KARNATAKA
2907276,Elxion Pvt Ltd Unit2,Refurbisher,Pending at CPCB,Amendment,Survey No 210/7 Gabbadi Village Harohalli Hobli Kanakapura Taluk Kanakapura Taluk,Ramanagar,KARNATAKA
1890234,EMS SCRAPO,Refurbisher,Approved by CPCB Authority,Amendment,SURVEY NO 199 HISSA NO 03 BHARAT MARKET KHAN COMPOUND SHIL ROAD THANE,Thane,MAHARASHTRA
2546307,ENVIROCARE RECYCLING PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"Unit No. 7 & 8, C - 1, Actual Industrial Complex, Uchat Road Village Mangathane, Tal. Wada, Dist. Palghar 421312 Wada",Palghar,MAHARASHTRA
13674,Envirokare Recycling Solutions Pvt Ltd ,Refurbisher,Approved by CPCB Authority,Amendment,"SY No. 475, Elikatta village  Farooq Nagar",K.V.Rangareddy,TELANGANA
1788513,ENVIRO TECH IT SOLUTIONS,Refurbisher,Pending at applicant,Amendment,"SURVEY NO 136, SHIVA FARM, BBMP WARD NO-102 MAGADI MAIN ROAD, VRUSHABAVATHINAGAR Bengaluru (Bangalore) Urban, Karnataka, 560079 Bangalore",Bangalore,KARNATAKA
2408553,epragathi recycing,Refurbisher,Approved by CPCB Authority,Amendment,"89/2 AND 90 ROAD NO. 19 ANTHARASANAHALLI INDUSTRIAL AREA, ANTHARASANAHALLI TUMKUR",Tumkur,KARNATAKA
83276,Erecon Recycling Pvt.Ltd,Refurbisher,Pending at applicant,Amendment,Gut No.94 Plot No 02 Chitegaon Paithan Road Aurangabad Gut No.94 Plot No 02 Chitegaon Paithan Road Aurangabad Aurangabad,Aurangabad,MAHARASHTRA
586197,E Scrappy Recyclers,Refurbisher,Pending at CPCB,Amendment,"106,Andharahalli Main Road,ByreshwaraIndustrial Estate Near Shushruti Bank, Peenaya 2nd Stage Bengaluru",Bangalore,KARNATAKA
